source_dataset,n,faithful,hallucinated,auroc,auprc,false_positive_rate,false_negative_rate
CLIFF,147,89,58,0.847927160015498,0.8909791945310462,0.16853932584269662,0.25862068965517243
Cao22,235,135,100,0.8678518518518518,0.8911860532314924,0.3925925925925926,0.12
FRANK,174,143,31,0.7177983307015565,0.9013790701880382,0.027972027972027972,0.8064516129032258
Goyal21,50,21,29,0.7077175697865352,0.5806864891560501,0.7142857142857143,0.2413793103448276
Polytope,34,34,0,,,0.029411764705882353,
Wang20,119,59,60,0.6906779661016949,0.6615156394164802,0.5423728813559322,0.2
